"filename", "language", "TOML", "Rust", "GLSL", "JSON", "Markdown", "SCSS", "HTML", "JavaScript", "CSS", "comment", "blank", "total"
"c:\Users\victo\OneDrive\Documentos\rust\VictorGerin.github.io\front_page\target\debug\.fingerprint\gloo-console-3a134d73e1ad7ba4\lib-gloo-console.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\victo\OneDrive\Documentos\rust\VictorGerin.github.io\front_page\target\debug\.fingerprint\gloo-console-426a4a613a68213c\lib-gloo-console.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\victo\OneDrive\Documentos\rust\VictorGerin.github.io\front_page\target\debug\.fingerprint\gloo-console-a751cd264d1a1908\lib-gloo-console.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\victo\OneDrive\Documentos\rust\VictorGerin.github.io\front_page\target\debug\.fingerprint\gloo-dialogs-1b1a8afcd16cc0df\lib-gloo-dialogs.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\victo\OneDrive\Documentos\rust\VictorGerin.github.io\front_page\target\debug\.fingerprint\gloo-dialogs-407c1899af6fdce8\lib-gloo-dialogs.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\victo\OneDrive\Documentos\rust\VictorGerin.github.io\front_page\target\debug\.fingerprint\gloo-dialogs-5aaaf8e805a3bf8d\lib-gloo-dialogs.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\victo\OneDrive\Documentos\rust\VictorGerin.github.io\front_page\target\debug\.fingerprint\gloo-dialogs-5aab39204e9766ec\lib-gloo-dialogs.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\victo\OneDrive\Documentos\rust\VictorGerin.github.io\front_page\target\debug\.fingerprint\gloo-dialogs-ebbbea5ddc6df82e\lib-gloo-dialogs.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\victo\OneDrive\Documentos\rust\VictorGerin.github.io\front_page\target\debug\.fingerprint\gloo-events-1ecd05b97637beb0\lib-gloo-events.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\victo\OneDrive\Documentos\rust\VictorGerin.github.io\front_page\target\debug\.fingerprint\gloo-events-5c1f6036f9c43b3a\lib-gloo-events.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\victo\OneDrive\Documentos\rust\VictorGerin.github.io\front_page\target\debug\.fingerprint\gloo-events-6be5feed00ab1c3e\lib-gloo-events.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\victo\OneDrive\Documentos\rust\VictorGerin.github.io\front_page\target\debug\.fingerprint\gloo-events-dc203939e4bb874b\lib-gloo-events.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\victo\OneDrive\Documentos\rust\VictorGerin.github.io\front_page\target\debug\.fingerprint\gloo-events-ed29375b65f1d3f8\lib-gloo-events.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\victo\OneDrive\Documentos\rust\VictorGerin.github.io\front_page\target\debug\.fingerprint\gloo-file-20c9b6e9234751e9\lib-gloo-file.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\victo\OneDrive\Documentos\rust\VictorGerin.github.io\front_page\target\debug\.fingerprint\gloo-file-5ff8b533fe452f7c\lib-gloo-file.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\victo\OneDrive\Documentos\rust\VictorGerin.github.io\front_page\target\debug\.fingerprint\gloo-file-9075ba7cd233ca78\lib-gloo-file.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\victo\OneDrive\Documentos\rust\VictorGerin.github.io\front_page\target\debug\.fingerprint\gloo-file-b0bede9c01d43811\lib-gloo-file.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\victo\OneDrive\Documentos\rust\VictorGerin.github.io\front_page\target\debug\.fingerprint\gloo-file-e6967d0bfacebfb6\lib-gloo-file.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\victo\OneDrive\Documentos\rust\VictorGerin.github.io\front_page\target\debug\.fingerprint\gloo-history-3a01261b7d27c116\lib-gloo-history.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\victo\OneDrive\Documentos\rust\VictorGerin.github.io\front_page\target\debug\.fingerprint\gloo-history-3bbf6533073f27ef\lib-gloo-history.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\victo\OneDrive\Documentos\rust\VictorGerin.github.io\front_page\target\debug\.fingerprint\gloo-history-6b8dc8b5ac5c91f7\lib-gloo-history.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\victo\OneDrive\Documentos\rust\VictorGerin.github.io\front_page\target\debug\.fingerprint\gloo-history-7d1a579d5dc96d5f\lib-gloo-history.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\victo\OneDrive\Documentos\rust\VictorGerin.github.io\front_page\target\debug\.fingerprint\gloo-history-d9097cc6511c17ea\lib-gloo-history.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\victo\OneDrive\Documentos\rust\VictorGerin.github.io\front_page\target\debug\.fingerprint\gloo-net-49416637bbce91da\lib-gloo-net.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\victo\OneDrive\Documentos\rust\VictorGerin.github.io\front_page\target\debug\.fingerprint\gloo-net-4ce6c4967ed4fbf4\lib-gloo-net.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\victo\OneDrive\Documentos\rust\VictorGerin.github.io\front_page\target\debug\.fingerprint\gloo-net-6a4c0f6b498529ad\lib-gloo-net.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\victo\OneDrive\Documentos\rust\VictorGerin.github.io\front_page\target\debug\.fingerprint\gloo-net-70995c28cf9e8ee4\lib-gloo-net.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\victo\OneDrive\Documentos\rust\VictorGerin.github.io\front_page\target\debug\.fingerprint\gloo-net-87158bea67e9107a\lib-gloo-net.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\victo\OneDrive\Documentos\rust\VictorGerin.github.io\front_page\target\debug\.fingerprint\gloo-net-8bbb830964d97e88\lib-gloo-net.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
